arm	run	masters	both_write_s	n1_saw_n2	n2_saw_n1	to_be_master	settled_s	roles_after
baseline	1	2	2	yes	no	no	4	csw83214-n1=registered_and_active csw83214-n2=registered_and_standby
raised	1	2	11	yes	no	no	13	csw35345-n1=registered_and_active csw35345-n2=registered_and_standby
baseline	2	2	1	yes	no	no	2	csw92509-n1=registered_and_active csw92509-n2=registered_and_standby
raised	2	2	12	yes	no	no	13	csw72061-n1=registered_and_active csw72061-n2=registered_and_standby
baseline	3	2	0	no	no	no	1	csw44229-n1=registered_and_active csw44229-n2=registered_and_standby
raised	3	2	12	yes	no	no	13	csw19186-n1=registered_and_active csw19186-n2=registered_and_standby
